Event	ID	Name			Wwise Object Path	Notes
	1251478039	Play_Creature_HitWall			\Default Work Unit\Creature\Play_Creature_HitWall	
	1316790141	Stop_Creature_OnChar			\Default Work Unit\Creature\Stop_Creature_OnChar	
	1776683280	Play_Creature_Call			\Default Work Unit\Creature\Play_Creature_Call	
	2125403547	Play_Creature_OnChar			\Default Work Unit\Creature\Play_Creature_OnChar	
	3331455763	Play_Creature_EndDrain			\Default Work Unit\Creature\Play_Creature_EndDrain	
	3361186193	Play_Creature_Launch			\Default Work Unit\Creature\Play_Creature_Launch	
	3373431376	Play_Creature_Grabbing			\Default Work Unit\Creature\Play_Creature_Grabbing	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	1810840	SFX_Creature_Launch	D:\Cursed\Cursed_WwiseProject\.cache\Mac\SFX\Creature\Creature_Launch_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Creature\SFX_Creature_Launch		87172
	99906037	SFX_Creature_Grabbing	D:\Cursed\Cursed_WwiseProject\.cache\Mac\SFX\Creature_Grabbing_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Creature\SFX_Creature_Grabbing		116880
	299119010	SFX_Creature_OnChar_07	D:\Cursed\Cursed_WwiseProject\.cache\Mac\SFX\SFX_Creature_OnChar_07_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Creature\Random_SFX_Creature_OnChar\SFX_Creature_OnChar_07		301648
	327802423	SFX_Creature_EndDrain	D:\Cursed\Cursed_WwiseProject\.cache\Mac\SFX\SFX_Creature_EndDrain_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Creature\SFX_Creature_EndDrain		85772
	352268105	SFX_Creature_Call	D:\Cursed\Cursed_WwiseProject\.cache\Mac\SFX\Creature\Creature_Call_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Creature\SFX_Creature_Call		51520
	456417066	SFX_Creature_OnChar_01	D:\Cursed\Cursed_WwiseProject\.cache\Mac\SFX\SFX_Creature_OnChar_01_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Creature\Random_SFX_Creature_OnChar\SFX_Creature_OnChar_01		189588
	583875436	SFX_Creature_OnChar_04	D:\Cursed\Cursed_WwiseProject\.cache\Mac\SFX\SFX_Creature_OnChar_04_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Creature\Random_SFX_Creature_OnChar\SFX_Creature_OnChar_04		219288
	603251001	SFX_Creature_OnChar_03	D:\Cursed\Cursed_WwiseProject\.cache\Mac\SFX\SFX_Creature_OnChar_03_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Creature\Random_SFX_Creature_OnChar\SFX_Creature_OnChar_03		380640
	963114625	SFX_Creature_OnChar_02	D:\Cursed\Cursed_WwiseProject\.cache\Mac\SFX\SFX_Creature_OnChar_02_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Creature\Random_SFX_Creature_OnChar\SFX_Creature_OnChar_02		356452
	1058628410	SFX_Creature_OnChar_05	D:\Cursed\Cursed_WwiseProject\.cache\Mac\SFX\SFX_Creature_OnChar_05_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Creature\Random_SFX_Creature_OnChar\SFX_Creature_OnChar_05		169992
	1063801539	SFX_Creature_OnChar_06	D:\Cursed\Cursed_WwiseProject\.cache\Mac\SFX\SFX_Creature_OnChar_06_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Creature\Random_SFX_Creature_OnChar\SFX_Creature_OnChar_06		219288
	1064949676	SFX_Creature_HitWall	D:\Cursed\Cursed_WwiseProject\.cache\Mac\SFX\Creature\Creature_HitWall_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Creature\SFX_Creature_HitWall		91592

