Event	ID	Name			Wwise Object Path	Notes
	1235386822	Play_ElectricTrap_Inactive			\Default Work Unit\Spatial\ElectricTrap\Play_ElectricTrap_Inactive	
	1913495746	Play_StaticNoise			\Default Work Unit\Spatial\Play_StaticNoise	
	2006604231	Play_ElectricTrap_Active			\Default Work Unit\Spatial\ElectricTrap\Play_ElectricTrap_Active	
	2270376495	Play_Laser			\Default Work Unit\Spatial\Play_Laser	
	2996732270	Play_MultiLaser			\Default Work Unit\Spatial\Play_MultiLaser	
	3294792404	Play_ElectricTrap_Triggered			\Default Work Unit\Spatial\ElectricTrap\Play_ElectricTrap_Triggered	
	3531069449	Play_DeathAnnouncement			\Default Work Unit\Spatial\Play_DeathAnnouncement	
	3793046172	Play_AssemblyLine			\Default Work Unit\Spatial\Play_AssemblyLine	

Effect plug-ins	ID	Name	Type				Notes
	1464074797	ElectricTrap_Delay	Wwise Delay			

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	407740136	SFX_ElectricTrap_Inactive_04	D:\Cursed\Cursed_WwiseProject\.cache\Windows\SFX\ElectricTrap_Inactive_04_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Traps\ElectricTrap\Random_SFX_ElectricTrap_Inactive\SFX_ElectricTrap_Inactive_04		43456
	447976717	SFX_AssemblyLine	D:\Cursed\Cursed_WwiseProject\.cache\Windows\SFX\SFX_AssemblyLine_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Props\SFX_AssemblyLine		1975736
	452589518	SFX_StaticNoise	D:\Cursed\Cursed_WwiseProject\.cache\Windows\SFX\SFX_StaticNoise_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Props\SFX_StaticNoise		102208
	593614556	SFX_ElectricTrap_Inactive_01	D:\Cursed\Cursed_WwiseProject\.cache\Windows\SFX\ElectricTrap_Inactive_01_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Traps\ElectricTrap\Random_SFX_ElectricTrap_Inactive\SFX_ElectricTrap_Inactive_01		46304
	738182096	SFX_MultiLaser_Loop	D:\Cursed\Cursed_WwiseProject\.cache\Windows\SFX\Laser_D79FB2B7.wem		\Actor-Mixer Hierarchy\Default Work Unit\Traps\SFX_MultiLaser_Loop		2354568
	742247423	SFX_ElectricTrap_Active	D:\Cursed\Cursed_WwiseProject\.cache\Windows\SFX\ElectricTrap_Active_D79FB2B7.wem		\Actor-Mixer Hierarchy\Default Work Unit\Traps\ElectricTrap\SFX_ElectricTrap_Active		1781824
	749166722	SFX_ElectricTrap_Triggered	D:\Cursed\Cursed_WwiseProject\.cache\Windows\SFX\ElectricTrap_Triggered_D79FB2B7.wem		\Actor-Mixer Hierarchy\Default Work Unit\Traps\ElectricTrap\SFX_ElectricTrap_Triggered		858688
	844500145	SFX_ElectricTrap_Inactive_03	D:\Cursed\Cursed_WwiseProject\.cache\Windows\SFX\ElectricTrap_Inactive_03_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Traps\ElectricTrap\Random_SFX_ElectricTrap_Inactive\SFX_ElectricTrap_Inactive_03		57216
	912044876	SFX_DeathAnnouncement	D:\Cursed\Cursed_WwiseProject\.cache\Windows\SFX\SFX_DeathAnnouncement_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Props\SFX_DeathAnnouncement		710720
	1034113395	SFX_ElectricTrap_Inactive_02	D:\Cursed\Cursed_WwiseProject\.cache\Windows\SFX\ElectricTrap_Inactive_02_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Traps\ElectricTrap\Random_SFX_ElectricTrap_Inactive\SFX_ElectricTrap_Inactive_02		57568

